Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-07-15,3446.01,3464.53,3444.94,3460.21,2214959
2016-07-18,3464.69,3492.93,3464.5,3491.22,2243239
2016-07-19,3488.05,3492.91,3473.64,3489.07,2723961
2016-07-20,3499.92,3518.04,3486.04,3518.04,2758485
2016-07-21,3515.2,3544.64,3512.76,3542.77,3671093
2016-07-22,3546.24,3572.14,3532.91,3563.85,4316402
2016-07-25,3573.61,3598.46,3573.61,3595.55,3551750
2016-07-26,3600.5,3607.14,3586.56,3607.14,5044564
2016-07-27,3607.99,3607.99,3576.96,3602.99,5831523
2016-07-28,3600.11,3618.91,3597.65,3618.91,4093601
2016-07-29,3614.57,3621.91,3585.76,3596.87,3623802
2016-08-01,3604.67,3624.16,3602.43,3606.55,3831149
2016-08-02,3629.44,3652.16,3628.89,3644.93,9368231
2016-08-03,3642.04,3642.72,3624.34,3631.56,6646001
2016-08-04,3637.23,3666.61,3636.82,3666.61,4721564
2016-08-05,3669.76,3701.06,3668.38,3701.06,3255843
2016-08-08,3698.81,3730.77,3698.81,3728.44,3783921
2016-08-09,3729.62,3789.53,3728.57,3785.98,5014960
2016-08-10,3789.7,3802.21,3778.98,3802.21,5840347
2016-08-11,3807.4,3822.09,3800.68,3822.09,3313830
2016-08-12,3831.37,3847.85,3822.26,3844.19,6213638
2016-08-16,3855.46,3858.13,3821.4,3846.85,6095350
2016-08-17,3843.92,3844.72,3811.64,3822.96,3733261
2016-08-18,3830.21,3830.21,3799.49,3824.25,3212327
2016-08-19,3832.93,3832.93,3791.2,3805.38,2925071
2016-08-22,3814.26,3833.53,3807.39,3833.53,3068751
2016-08-23,3838.17,3856.03,3827.5,3851.98,4703631
2016-08-24,3840.91,3853.47,3835.35,3850.73,5129568
2016-08-25,3865.46,3869.69,3850.68,3869.69,10400467
2016-08-26,3873.7,3890.71,3870.52,3890.65,4004362
2016-08-29,3883.7,3884.43,3868.13,3875.3,4494860
2016-08-30,3886.26,3940.31,3879.01,3940.31,4821033
2016-08-31,3945.54,3953.59,3925.54,3942.63,6385827
2016-09-01,3948.49,3958.93,3882.97,3897.52,8469647
2016-09-02,3897.95,3917.6,3897.1,3915.39,6220038
2016-09-05,3922.52,3984.11,3917.54,3984.11,5916112
2016-09-06,3991.03,4007.49,3973.34,4004.48,8514905
2016-09-07,4011.06,4042.72,4008.14,4020.55,8155543
2016-09-08,4024.19,4024.84,3994.89,4000.47,6774323
2016-09-09,4001,4007.52,3958.15,3963.1,5677196
2016-09-12,3944.96,3951.04,3888.44,3912.73,4399883
2016-09-13,3925.33,3950.27,3920.97,3941.99,4686165
2016-09-14,3942.95,3958.33,3935.59,3955.38,4014575
2016-09-15,3975,3980.86,3958.74,3975.85,5654976
2016-09-16,3983.23,4040.15,3971.72,4030.93,3653732
2016-09-19,4034.65,4038.72,4012.11,4022.9,4014219
